"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"PLM00012566","BALICE, PL","2024-04-07","0.00",,"61","78",
"PLM00012566","BALICE, PL","2024-04-08","0.00",,"66",,"50"
"PLM00012566","BALICE, PL","2024-04-09","0.00",,"65","82","48"
"PLM00012566","BALICE, PL","2024-04-10","0.00",,"55","72",
"PLM00012566","BALICE, PL","2024-04-11","0.00",,"54","63",
"PLM00012566","BALICE, PL","2024-04-12","0.00",,"56",,
"PLM00012566","BALICE, PL","2024-04-13","0.00",,"59","70","46"
"PLM00012566","BALICE, PL","2024-04-14","0.02",,"60","72","47"
"PLM00012566","BALICE, PL","2024-04-15","0.12",,"52","64",
"PLM00012566","BALICE, PL","2024-04-16","0.20",,"46","52",
"PLM00012566","BALICE, PL","2024-04-17","0.00",,"40",,
"PLM00012566","BALICE, PL","2024-04-18","0.02",,"40","48","33"
"PLM00012566","BALICE, PL","2024-04-19","0.07",,"44","52",
"PLM00012566","BALICE, PL","2024-04-20","0.02",,"44","49",
"PLM00012566","BALICE, PL","2024-04-21","0.18",,"38","44","36"
"PLM00012566","BALICE, PL","2024-04-22","0.11",,"39","44","35"
"PLM00012566","BALICE, PL","2024-04-23","0.00",,"42","52",
"PLM00012566","BALICE, PL","2024-04-24","0.08",,"44",,
"PLM00012566","BALICE, PL","2024-04-25","0.33",,"45","54",
"PLM00012566","BALICE, PL","2024-04-26","0.00",,"47","60","31"
"PLM00012566","BALICE, PL","2024-04-27","0.04",,"51","63",
"PLM00012566","BALICE, PL","2024-04-28","0.00",,"58","73","39"
"PLM00012566","BALICE, PL","2024-04-29","0.00",,"63","78","46"
"PLM00012566","BALICE, PL","2024-04-30","0.00",,"64","78","48"
"PLM00012566","BALICE, PL","2024-05-02","0.00",,"62","73",
"PLM00012566","BALICE, PL","2024-05-03","0.00",,"62","76",
"PLM00012566","BALICE, PL","2024-05-04","0.00",,"62","75",
"PLM00012566","BALICE, PL","2024-05-05","0.00",,"63","78","44"
"PLM00012566","BALICE, PL","2024-05-06","0.10",,"64","75",
"PLM00012566","BALICE, PL","2024-05-07","0.19",,"57","68",
"PLM00012566","BALICE, PL","2024-05-08","0.00",,"53","62","44"
"PLM00012566","BALICE, PL","2024-05-09","0.00",,"55","67","42"
"PLM00012566","BALICE, PL","2024-05-10","0.00",,"56","68","39"
"PLM00012566","BALICE, PL","2024-05-11","0.04",,"56","65",
"PLM00012566","BALICE, PL","2024-05-12","0.00",,"53","63","39"
"PLM00012566","BALICE, PL","2024-05-13","0.00",,"54","67",
"PLM00012566","BALICE, PL","2024-05-14","0.00",,"58","70",
"PLM00012566","BALICE, PL","2024-05-15","0.00",,"59","71","46"
"PLM00012566","BALICE, PL","2024-05-16","0.00",,"60",,"44"
"PLM00012566","BALICE, PL","2024-05-17","0.02",,"59","71",
"PLM00012566","BALICE, PL","2024-05-18","0.02",,"62","75",
"PLM00012566","BALICE, PL","2024-05-19","0.00",,"62",,"49"
"PLM00012566","BALICE, PL","2024-05-20","0.00",,"63","77",
"PLM00012566","BALICE, PL","2024-05-21","0.00",,"67",,"51"
"PLM00012566","BALICE, PL","2024-05-22","0.75",,"64","77",
"PLM00012566","BALICE, PL","2024-05-23",,,"64","71",
"PLM00012566","BALICE, PL","2024-05-24","0.00",,"64","76",
"PLM00012566","BALICE, PL","2024-05-25","0.04",,"64","79","51"
"PLM00012566","BALICE, PL","2024-05-26","0.00",,"65","80",
"PLM00012566","BALICE, PL","2024-05-27","0.15",,"67","82","51"
"PLM00012566","BALICE, PL","2024-05-28","0.00",,"67","81",
